,customerID,gender,age,tenure,PhoneService,InternetService,is_tv_subscriber,is_movie_package_subscriber,service_failure_count,bill_avg,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packetss,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Most_usable_protocol,Churn
0,7590-VHVEG,Female,48,1,No,FTTB,No,No,2,895.5,4452.6,32422.0,48634.0,46.38125000000001,69.571875,TelegramChat,No
1,5575-GNVDE,Male,28,34,Yes,FTTB,No,No,1,1708.5,51511.2,375093.0,562639.0,536.575,804.8625,POP3,No
2,3668-QPYBK,Male,38,2,Yes,FTTB,No,No,2,1615.5,91791.3,668403.0,1002605.0,956.159375,1434.2390625,APPLE_ICLOUD,Yes
3,7795-CFOCW,Male,22,45,No,FTTB,No,No,0,1269.0,5488.8,39968.0,59952.0,57.175,85.7625,MICROSOFT,No
4,9237-HQITU,Female,27,2,Yes,DSL,No,No,0,2121.0,13826.1,100678.0,151017.0,144.021875,216.0328125,APPLE,Yes
5,9305-CDSKC,Female,36,8,Yes,DSL,Yes,Yes,2,2989.5,9204.9,67028.0,100542.0,95.884375,143.8265625,FACEBOOK,Yes
6,1452-KIOVK,Male,19,22,Yes,DSL,Yes,No,1,2673.0,1573861.2,11460507.0,17190761.0,16394.3875,24591.58125,MS_ONE_DRIVE,No
7,6713-OKOMC,Female,20,10,No,FTTB,No,No,2,892.5,1420152.6,10341235.0,15511853.0,14793.25625,22189.884375,TOR,No
8,7892-POOKP,Female,47,28,Yes,DSL,Yes,Yes,0,3144.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,YANDEX,Yes
9,6388-TABGU,Male,52,62,Yes,FTTB,No,No,0,1684.5,46564.8,339074.0,508611.0,485.05,727.575,DNS,No
10,9763-GRSKD,Male,54,13,Yes,FTTB,No,No,2,1498.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,UPNP,No
11,7469-LKBCI,Male,52,16,Yes,DOCSIS,No,No,2,568.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,HTTP,No
12,8091-TTVAX,Male,18,58,Yes,DSL,Yes,Yes,0,3010.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,MQTT,No
13,0280-XJGEX,Male,30,49,Yes,DSL,Yes,Yes,1,3111.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,FTP,Yes
14,5129-JLPIS,Male,21,25,Yes,DSL,Yes,Yes,2,3165.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,SSL_NO_CERT,No
15,3655-SNQYZ,Female,26,69,Yes,DSL,Yes,Yes,0,3397.5,180.0,1310.0,1966.0,1.875,2.8125,NETFLIX,No
16,8191-XWSZG,Female,47,52,Yes,DOCSIS,No,No,0,619.5,1501514.7,10933696.0,16400544.0,15640.778125,23461.1671875,HTTP_PROXY,No
17,9959-WOFKT,Male,39,71,Yes,DSL,Yes,Yes,0,3201.0,3760483.8,27383007.0,41074511.0,39171.70625,58757.559375,IAX,No
18,4190-MFLUW,Female,29,10,Yes,FTTB,No,No,1,1656.0,273278.4,1989952.0,2984928.0,2846.6500000000005,4269.975,OFFICE_365,Yes
19,4183-MYFRB,Female,21,21,Yes,DSL,No,Yes,2,2701.5,65.1,474.0,711.0,0.6781249999999999,1.0171875,TEAMVIEWER,No
20,8779-QRDMV,Male,62,1,No,FTTB,No,Yes,1,1189.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,HTTP,Yes
21,1680-VDCWW,Male,36,12,Yes,DOCSIS,No,No,1,594.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,TOR,No
22,1066-JKSGK,Male,26,1,Yes,DOCSIS,No,No,1,604.5,7215.9,52544.0,78816.0,75.165625,112.7484375,OPENVPN,Yes
23,3638-WEABW,Female,57,58,Yes,FTTB,No,No,0,1797.0,23.1,168.0,252.0,0.240625,0.3609375,YANDEX,No
24,6322-HRPFA,Male,59,49,Yes,FTTB,No,No,2,1788.0,3732.6,27179.0,40769.0,38.88125,58.321875,TelegramChat,No
25,6865-JZNKO,Female,25,30,Yes,FTTB,No,No,2,1659.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,NETFLIX,No
26,6467-CHFZW,Male,58,47,Yes,DSL,Yes,Yes,2,2980.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,YANDEX,Yes
27,8665-UTDHZ,Male,29,1,No,FTTB,No,No,1,906.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,TWITCH,Yes
28,5248-YGIJN,Male,46,72,Yes,FTTB,Yes,Yes,0,2707.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,SKYPE,No
29,8773-HHUOZ,Female,19,17,Yes,FTTB,Yes,Yes,0,1941.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,APPLE_ITUNES,Yes
30,3841-NFECX,Female,22,71,Yes,DSL,No,No,0,2890.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,UPNP,No
31,4929-XIHVW,Male,53,2,Yes,DSL,Yes,Yes,0,2865.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,GOOGLE,No
32,6827-IEAUQ,Female,39,27,Yes,FTTB,No,No,2,1984.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,RDP,No
33,7310-EGVHZ,Male,22,1,Yes,DOCSIS,No,No,2,606.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,WIKIPEDIA,No
34,3413-BMNZE,Male,26,1,Yes,FTTB,No,No,0,1357.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,HTTP,No
35,6234-RAAPL,Female,27,72,Yes,DSL,Yes,No,2,2997.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,MICROSOFT,No
36,6047-YHPVI,Male,42,5,Yes,DSL,No,No,2,2091.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,POP3,Yes
37,6572-ADKRS,Female,43,46,Yes,DSL,No,No,1,2244.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,FTP,No
38,5380-WJKOV,Male,34,34,Yes,DSL,Yes,Yes,2,3190.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,NFS,Yes
39,8168-UQWWF,Female,35,11,Yes,DSL,Yes,Yes,0,2935.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,YANDEX,Yes
40,8865-TNMNX,Male,22,10,Yes,FTTB,No,No,1,1486.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,TWITTER,No
41,9489-DEDVP,Female,30,70,Yes,FTTB,Yes,No,2,2076.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,GOOGLE,No
42,9867-JCZSP,Female,44,17,Yes,DOCSIS,No,No,2,622.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,YANDEX,No
43,4671-VJLCL,Female,38,63,Yes,FTTB,Yes,No,0,2395.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,HTTP,No
44,4080-IIARD,Female,29,13,Yes,FTTB,Yes,No,0,2286.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,NFS,No
45,3714-NTNFO,Female,40,49,Yes,DSL,No,Yes,2,2535.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,RDP,No
46,5948-UJZLF,Male,20,2,Yes,FTTB,No,No,1,1477.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,APPLE,No
47,7760-OYPDY,Female,53,2,Yes,DSL,Yes,No,2,2419.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,SSL_NO_CERT,Yes
48,7639-LIAYI,Male,18,52,Yes,FTTB,Yes,Yes,0,2392.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,HTTP,No
49,2954-PIBKO,Female,21,69,Yes,FTTB,No,No,0,1924.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,DNS,No
50,8012-SOUDQ,Female,21,43,Yes,DSL,Yes,No,1,2707.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,IMAP,No
51,9420-LOJKX,Female,37,15,Yes,DSL,Yes,Yes,0,2973.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,HTTP,Yes
52,6575-SUVOI,Female,37,25,Yes,FTTB,Yes,No,1,2085.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,FTP_DATA,No
53,7495-OOKFY,Female,29,8,Yes,DSL,No,No,2,2419.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,YANDEX,Yes
54,4667-QONEA,Female,21,60,Yes,FTTB,No,Yes,0,2245.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,SKYPE,No
55,1658-BYGOY,Male,50,18,Yes,DSL,Yes,Yes,1,2863.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,NetBIOS,Yes
56,8769-KKTPH,Female,44,63,Yes,DSL,Yes,Yes,2,2989.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,SKYPE,No
57,5067-XJQFU,Male,62,66,Yes,DSL,Yes,Yes,0,3253.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,HTTP_PROXY,No
58,3957-SQXML,Female,38,34,Yes,DOCSIS,No,No,2,748.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,SSL,No
59,5954-BDFSG,Female,27,72,Yes,DSL,Yes,Yes,1,3225.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,MSSQL,No
60,0434-CSFON,Female,55,47,Yes,DSL,Yes,Yes,2,3015.0,842793.9,6137037.0,9205556.0,8779.103125,13168.6546875,STARCRAFT,No
61,1215-FIGMP,Male,39,60,Yes,DSL,Yes,No,0,2697.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,SMTP,No
62,0526-SXDJP,Male,45,72,No,FTTB,No,No,0,1263.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,NFS,No
63,0557-ASKVU,Female,45,18,Yes,FTTB,No,No,0,1632.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,ORACLE,No
64,5698-BQJOH,Female,55,9,Yes,DSL,Yes,Yes,0,2832.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,APPLE_ICLOUD,Yes
65,5122-CYFXA,Female,51,3,Yes,FTTB,Yes,Yes,1,2259.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,FTP_DATA,No
66,8627-ZYGSZ,Male,57,47,Yes,DSL,No,No,2,2367.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,HTTP,No
67,3410-YOQBQ,Female,61,31,Yes,FTTB,Yes,Yes,1,2376.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,SMTP,No
68,3170-NMYVV,Female,54,50,Yes,DOCSIS,No,No,1,604.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,WHATSAPP,No
69,7410-OIEDU,Male,49,10,Yes,DSL,No,No,2,2395.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,WHATSAPP,No
70,2273-QCKXA,Male,49,1,Yes,FTTB,No,No,2,1471.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,BitTorrent,No
71,0731-EBJQB,Female,53,52,Yes,DOCSIS,No,No,1,612.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,NFS,No
72,1891-QRQSA,Male,51,64,Yes,DSL,Yes,Yes,2,3348.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,OPENVPN,No
73,8028-PNXHQ,Male,22,62,Yes,DOCSIS,No,No,2,727.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,APPLE_ITUNES,No
74,5630-AHZIL,Female,24,3,Yes,FTTB,No,Yes,2,1935.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,YANDEX,No
75,2673-CXQEU,Female,51,56,Yes,DSL,Yes,Yes,0,3315.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,WHATSAPP,No
76,6416-JNVRK,Female,21,46,Yes,FTTB,No,Yes,1,1669.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,MQTT,No
77,5590-ZSKRV,Female,36,8,Yes,FTTB,No,No,1,1639.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,WINDOWS_UPDATE,No
78,0191-ZHSKZ,Male,59,30,Yes,FTTB,Yes,Yes,0,2242.5,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,DNS,No
79,3887-PBQAO,Female,19,45,Yes,DOCSIS,No,No,1,777.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,FTP,No
80,5919-TMRGD,Female,53,1,Yes,DSL,Yes,No,0,2380.5,381.6,2778.0,4168.0,3.975,5.9625,RDP,Yes
81,8108-UXRQN,Female,34,11,No,FTTB,Yes,Yes,1,1516.5,592321.5,4313153.0,6469730.0,6170.015625,9255.0234375,ORACLE,No
82,9191-MYQKX,Female,46,7,Yes,DSL,No,No,1,2254.5,45692.7,332724.0,499086.0,475.965625,713.9484375,DNS,Yes
83,9919-YLNNG,Female,28,42,Yes,DSL,Yes,Yes,1,3114.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,SSL,No
84,0318-ZOPWS,Female,59,49,Yes,DOCSIS,No,No,0,604.5,110640.0,805655.0,1208483.0,1152.5,1728.75,YOUTUBE,No
85,4445-ZJNMU,Male,29,9,Yes,DSL,Yes,Yes,1,2979.0,1447530.977,10540598.0,15810898.0,15078.447677083332,22617.671515625,HTTP,No
86,4808-YNLEU,Female,24,35,Yes,FTTB,Yes,No,1,1864.5,4585930.5,33393726.0,50090590.0,47770.109375,71655.1640625,TelegramChat,No
